LONGITUDE,LATITUDE,VALUE
-144,-11.3996,0.33738401
-136,-11.3996,0.316226844
-128,-11.3996,0.281537722
-120,-11.3996,0.29069192
-112,-11.3996,0.297182305
-104,-11.3996,0.285294095
-96,-11.3996,0.301864802
-88,-11.3996,0.273632198
-80,-11.3996,0.31985729399999996
-40,-11.3996,0.326347531
-32,-11.3996,0.36907491
-24,-11.3996,0.296920726
-16,-11.3996,0.31510888
-8,-11.3996,0.300492645
0,-11.3996,0.293408063
8,-11.3996,0.381432725
16,-11.3996,0.34840509700000005
40,-11.3996,0.480486745
48,-11.3996,0.48301739299999996
56,-11.3996,0.41740021299999996
64,-11.3996,0.334457948
72,-11.3996,0.348520107
80,-11.3996,0.26824795
88,-11.3996,0.26907135
96,-11.3996,0.337360204
104,-11.3996,0.536252807
112,-11.3996,0.5891766860000001
120,-11.3996,0.6238875939999999
128,-11.3996,0.59347109
136,-11.3996,0.535773511
144,-11.3996,0.636895136
152,-11.3996,0.592142779
160,-11.3996,0.49035584299999996
168,-11.3996,0.463051631
176,-11.3996,0.38703500700000004
-176,-19.73712,0.395960715
-168,-19.73712,0.34510793799999995
-160,-19.73712,0.313291396
-152,-19.73712,0.333458723
-144,-19.73712,0.326588512
-136,-19.73712,0.282666915
-128,-19.73712,0.27404991300000003
-120,-19.73712,0.24986038800000002
-112,-19.73712,0.249092788
-104,-19.73712,0.235779661
-96,-19.73712,0.24606667899999998
-88,-19.73712,0.265706247
-80,-19.73712,0.34428200000000003
-72,-19.73712,0.297803754
-40,-19.73712,0.37844316299999997
-32,-19.73712,0.315884541
-24,-19.73712,0.263420179
-16,-19.73712,0.273661934
-8,-19.73712,0.286743211
0,-19.73712,0.25522811100000004
8,-19.73712,0.366441905
16,-19.73712,0.327277465
40,-19.73712,0.49237377299999996
48,-19.73712,0.465963047
56,-19.73712,0.439876024
64,-19.73712,0.354836437
72,-19.73712,0.264247567
80,-19.73712,0.246812511
88,-19.73712,0.251853078
96,-19.73712,0.262535468
104,-19.73712,0.281770164
112,-19.73712,0.520592953
120,-19.73712,0.543560166
144,-19.73712,0.5791574389999999
152,-19.73712,0.615832728
160,-19.73712,0.508145827
168,-19.73712,0.505599182
176,-19.73712,0.42697016600000004
-176,-28.549190000000003,0.316963777
-168,-28.549190000000003,0.275302285
-160,-28.549190000000003,0.24984131199999998
-152,-28.549190000000003,0.254862852
-144,-28.549190000000003,0.257102205
-136,-28.549190000000003,0.24918305300000002
-128,-28.549190000000003,0.260112606
-120,-28.549190000000003,0.239509795
-112,-28.549190000000003,0.24139889899999997
-104,-28.549190000000003,0.221217885
-96,-28.549190000000003,0.213380922
-88,-28.549190000000003,0.256026045
-80,-28.549190000000003,0.26018645100000004
-72,-28.549190000000003,0.281014092
-48,-28.549190000000003,0.440972011
-40,-28.549190000000003,0.369791521
-32,-28.549190000000003,0.277729674
-24,-28.549190000000003,0.262883195
-16,-28.549190000000003,0.265641026
-8,-28.549190000000003,0.258608059
0,-28.549190000000003,0.283803376
8,-28.549190000000003,0.333377264
16,-28.549190000000003,0.396225285
32,-28.549190000000003,0.572972704
40,-28.549190000000003,0.502495751
48,-28.549190000000003,0.447191633
56,-28.549190000000003,0.308037613
64,-28.549190000000003,0.287879353
72,-28.549190000000003,0.28276545
80,-28.549190000000003,0.27507089100000004
88,-28.549190000000003,0.278773715
96,-28.549190000000003,0.278496103
104,-28.549190000000003,0.290154642
112,-28.549190000000003,0.5954836720000001
128,-28.549190000000003,0.30356130800000003
152,-28.549190000000003,0.6291239820000001
160,-28.549190000000003,0.465687026
