"GRIDCODE,N,10,0","X_COORD,N,18,5","Y_COORD,N,18,5","AllTaxa,N,19,11","AllNorm,N,19,11","CoastNorm,N,19,11","OceanNorm,N,19,11"
212,72,21.24611,1151.76923,0.38618606,0.316374939,0.467632368
214,88,21.24611,1506.019474,0.430425402,0.409035121,0.45538073
215,96,21.24611,1501.9610195,0.373666473,0.383563657,0.362119758
216,104,21.24611,1301.93102063,0.347263368,0.352446549,0.341216322
217,112,21.24611,2444.31990979,0.589437076,0.532990434,0.655291492
218,120,21.24611,3409.47772921,0.77160941,0.754945129,0.791051071
219,128,21.24611,1672.99583614,0.590714339,0.470152919,0.731369328
220,136,21.24611,118.666775124,0.32254087,0.059503773,0.629417482
221,144,21.24611,872.7535514,0.363058996,0.157140961,0.603296703
222,152,21.24611,334.3995422,0.298120454,0.042506275,0.596336996
223,160,21.24611,102.574086578,0.284634604,0.0208974,0.592328009
224,168,21.24611,400.062562243,0.287043973,0.043075756,0.57167356
225,176,21.24611,103.230616071,0.274209205,0.021386637,0.569168868
226,-176,12.84422,104.322741198,0.291881158,0.016571149,0.613076168
227,-168,12.84422,389.4205556,0.335943029,0.051252553,0.668081918
228,-160,12.84422,110.807355103,0.325122303,0.028344671,0.671362873
229,-152,12.84422,108.82186685,0.309741597,0.028344671,0.63803801
230,-144,12.84422,102.930801572,0.287706479,0.012244898,0.609078324
231,-136,12.84422,93.8578291833,0.261565837,0.008163265,0.55720217
232,-128,12.84422,95.824516686,0.263760192,0.008163265,0.561956606
233,-120,12.84422,92.8275301777,0.259374876,0.008163265,0.552455088
234,-112,12.84422,354.538606985,0.262327116,0.033639624,0.529129189
235,-104,12.84422,378.483900676,0.323753589,0.114094657,0.568355675
236,-96,12.84422,859.641856286,0.335677885,0.139524362,0.564523662
237,-88,12.84422,1482.03486138,0.478112378,0.319500534,0.663159529
238,-80,12.84422,1635.47322589,0.485781202,0.347585013,0.647010089
239,-72,12.84422,1120.5326531,0.450662302,0.300452671,0.625906871
240,-64,12.84422,1009.529661,0.470487039,0.309987323,0.657736708
241,-56,12.84422,778.2164179,0.430884072,0.257850878,0.632756133
242,-48,12.84422,108,0.301074114,0.085820482,0.552203352
243,-40,12.84422,103,0.295965121,0.066746699,0.563386613
244,-32,12.84422,109.230857828,0.315246067,0.074909964,0.595638188
245,-24,12.84422,362.45484703,0.405226634,0.149511245,0.703561254
246,-16,12.84422,550.8965517,0.475687917,0.2381514,0.752813853
253,40,12.84422,1602.91615462,0.353111928,0.336945502,0.371972757
254,48,12.84422,1447.703743,0.428173837,0.314903117,0.56032301
255,56,12.84422,1206.69458453,0.423615312,0.297336861,0.570940171
256,64,12.84422,101,0.282697845,0.057863145,0.545004995
257,72,12.84422,1213.8830024,0.495084455,0.41952248,0.583240093
258,80,12.84422,1416.42221556,0.53287188,0.504641685,0.565807107
259,88,12.84422,406.33333333,0.436721604,0.340911851,0.548499648
260,96,12.84422,1827.247987,0.532381019,0.534810313,0.529546842
261,104,12.84422,1666.79422411,0.494759556,0.534619636,0.448256129
262,112,12.84422,1789.93069643,0.573665452,0.539427608,0.613609602
263,120,12.84422,3165.82736478,0.686432042,0.650443126,0.728419112
264,128,12.84422,2803.80033155,0.608192685,0.57258712,0.649732511
265,136,12.84422,1145.66650082,0.412776783,0.257091189,0.594409976
266,144,12.84422,1404.9328981,0.434924257,0.293744735,0.5996337
267,152,12.84422,819.458568775,0.390573393,0.208735242,0.602717904
268,160,12.84422,857.52582541,0.386916288,0.181312179,0.626787749
269,168,12.84422,989.934730652,0.366372237,0.172980335,0.591996122
270,176,12.84422,135.460729241,0.286785692,0.032824682,0.583073537
271,-176,4.72115,321.0037628,0.260432417,0.029300277,0.53008658
272,-168,4.72115,98.0027010299,0.272389066,0.017060386,0.570272526
273,-160,4.72115,737.206564864,0.292712033,0.058318642,0.566170989
274,-152,4.72115,94.4230144808,0.259265609,0.017060386,0.54183837
275,-144,4.72115,95.5696556428,0.268068407,0.008163265,0.571291072
276,-136,4.72115,94.6757347085,0.263212199,0.008163265,0.560769289
277,-128,4.72115,97.9084999335,0.272600242,0.008163265,0.581110048
278,-120,4.72115,97.2401294045,0.271478187,0.008163265,0.57867893
279,-112,4.72115,96.3654037934,0.269827017,0.008163265,0.575101394
280,-104,4.72115,88,0.247785548,0.008163265,0.527344877
281,-96,4.72115,281.9619231,0.328686372,0.098001392,0.597818848
282,-88,4.72115,419.37179483,0.379738061,0.168896699,0.625719651
283,-80,4.72115,1425.3474548,0.464410468,0.31921781,0.633801901
286,-56,4.72115,549.735221921,0.388079614,0.21541606,0.589520427
287,-48,4.72115,432.53333333,0.346041883,0.158634813,0.564683465
288,-40,4.72115,107,0.310586397,0.087154862,0.571256521
289,-32,4.72115,101.75,0.307555454,0.058583433,0.598022811
290,-24,4.72115,118,0.343732738,0.078991597,0.652597403
291,-16,4.72115,470.794153969,0.408742413,0.185394254,0.669315267
292,-8,4.72115,511.1767677,0.390813389,0.194606055,0.619721945
293,0,4.72115,481.25,0.395091374,0.187449319,0.637340437
294,8,4.72115,531.8900524,0.365616568,0.182693744,0.579026529
299,48,4.72115,1428.18921482,0.421938076,0.287430263,0.578863858
300,56,4.72115,183,0.340217415,0.146170386,0.566605617
301,64,4.72115,97.4806956952,0.272090956,0.04969988,0.531547211
302,72,4.72115,1271.579164,0.507976653,0.401210721,0.632536908
303,80,4.72115,1366.3211385,0.538786172,0.473147012,0.61536519
304,88,4.72115,173.5,0.362944499,0.197247529,0.556257631
305,96,4.72115,1823.28624633,0.566620883,0.546936207,0.58958634
306,104,4.72115,1980.14667637,0.540856416,0.608933269,0.46143342
307,112,4.72115,1982.95847977,0.585014037,0.612657768,0.552763016
308,120,4.72115,2612.307086,0.62467563,0.624944194,0.624362304
309,128,4.72115,2485.19724068,0.578551559,0.528315691,0.637160071
310,136,4.72115,1725.90309656,0.48931564,0.398058537,0.595782261
311,144,4.72115,963.248173812,0.427128222,0.299519537,0.576005022
312,152,4.72115,1213.56842395,0.43520248,0.290361267,0.604183894
313,160,4.72115,1102.6400352,0.392430267,0.215476676,0.598876124
314,168,4.72115,1108.17477335,0.38086259,0.198344468,0.593800399
315,176,4.72115,1078.58106346,0.358122542,0.184134418,0.561108686
316,-176,-3.3057,838.491934738,0.319585174,0.112738513,0.56090628
317,-168,-3.3057,827.026538072,0.320029384,0.099852547,0.576902362
318,-160,-3.3057,508.590667988,0.295153178,0.068742007,0.559299544
319,-152,-3.3057,585.340330993,0.297340331,0.076664666,0.554795273
320,-144,-3.3057,102.782707334,0.259159107,0.010854068,0.548848319
321,-136,-3.3057,106.31748477,0.284433956,0.010120212,0.604466657
322,-128,-3.3057,100.041868923,0.288109098,0.008163265,0.61471257
323,-120,-3.3057,98.9509981649,0.285762825,0.008163265,0.609628977
324,-112,-3.3057,94,0.267365967,0.008163265,0.56976912
325,-104,-3.3057,90,0.255137171,0.008163265,0.543273393
326,-96,-3.3057,122.996738892,0.306919507,0.075974362,0.576355509
327,-88,-3.3057,454.0265306,0.327751918,0.125150427,0.564120324
328,-80,-3.3057,594.055848,0.320725843,0.169883269,0.496708847
332,-48,-3.3057,556.567018926,0.308519031,0.155595716,0.486929566
333,-40,-3.3057,339.39907073,0.352081846,0.171117288,0.563207163
334,-32,-3.3057,257.13613912,0.365453819,0.176736834,0.585623636
335,-24,-3.3057,103.5,0.310067685,0.058583433,0.603465978
336,-16,-3.3057,106.33333333,0.314269039,0.066746699,0.603045103
337,-8,-3.3057,116,0.337971192,0.07628359,0.643273393
338,0,-3.3057,115.281470337,0.335133222,0.084220098,0.6278652
339,8,-3.3057,518.375,0.404559842,0.182584638,0.663530914
343,40,-3.3057,1625.70351677,0.460992661,0.344635301,0.596742913
344,48,-3.3057,398.562643042,0.39192182,0.215861062,0.597326039
345,56,-3.3057,1605.78135558,0.40770391,0.254025704,0.586995151
346,64,-3.3057,104.216145758,0.287745862,0.053554755,0.56096882
347,72,-3.3057,1215.5539611,0.390588239,0.217899922,0.592057942
348,80,-3.3057,105.038962218,0.297505815,0.083313325,0.547397054
349,88,-3.3057,104.33333333,0.295118808,0.087635054,0.537183187
350,96,-3.3057,1550.22031469,0.483971705,0.421680629,0.556644628
351,104,-3.3057,2265.367666,0.605473707,0.608852483,0.601531802
352,112,-3.3057,2082.66021573,0.519871263,0.575178507,0.455346145
353,120,-3.3057,2336.05356438,0.548722347,0.554100196,0.54244819
354,128,-3.3057,2210.34089093,0.566865756,0.543391985,0.594251822
355,136,-3.3057,2279.2092623,0.563437429,0.531480089,0.600720992
356,144,-3.3057,2124.25429306,0.535474185,0.48911828,0.589556075
357,152,-3.3057,2277.26837233,0.51828179,0.437592699,0.612419062
358,160,-3.3057,1360.79530923,0.419216239,0.254451077,0.611442261
359,168,-3.3057,851.689838648,0.373269074,0.173585699,0.606233011
360,176,-3.3057,1178.16040883,0.355724527,0.18624241,0.553453662
361,-176,-11.3996,1292.06682027,0.385829528,0.206509979,0.595035668
362,-168,-11.3996,1139.62031691,0.345447714,0.145439948,0.578790107
363,-160,-11.3996,833.4119384,0.321551568,0.093556523,0.587545788
364,-152,-11.3996,683.580899318,0.326897438,0.087497762,0.606197059
365,-144,-11.3996,887.8378676,0.33738401,0.101514408,0.612565213
366,-136,-11.3996,628.0025946,0.316226844,0.055034479,0.620951271
367,-128,-11.3996,97.5020093422,0.281537722,0.008163265,0.600474588
368,-120,-11.3996,100.588630152,0.29069192,0.008163265,0.620308685
369,-112,-11.3996,105,0.297182305,0.008163265,0.634371184
370,-104,-11.3996,101.418543381,0.285294095,0.008163265,0.608613397
371,-96,-11.3996,105,0.301864802,0.008163265,0.644516595
372,-88,-11.3996,95.8494245001,0.273632198,0.008163265,0.583345954
373,-80,-11.3996,450.257984263,0.319857294,0.093742311,0.583658107
378,-40,-11.3996,449.396133125,0.326347531,0.1737537,0.504373667
379,-32,-11.3996,348.3593883,0.36907491,0.160873194,0.611976912
380,-24,-11.3996,102,0.296920726,0.041776711,0.594588745
381,-16,-11.3996,259.16942167,0.31510888,0.060025795,0.612705813
382,-8,-11.3996,104.5,0.300492645,0.058583433,0.582720058
383,0,-11.3996,104,0.293408063,0.05995706,0.565767566
384,8,-11.3996,146.311802956,0.381432725,0.137516802,0.666001303
385,16,-11.3996,425.235296702,0.348405097,0.14813084,0.582058397
388,40,-11.3996,1665.27560567,0.480486745,0.360481837,0.620492471
389,48,-11.3996,1735.022388,0.483017393,0.357999905,0.628871129
390,56,-11.3996,1003.54000847,0.417400213,0.266915098,0.592966181
391,64,-11.3996,405.248609703,0.334457948,0.139580325,0.561815175
392,72,-11.3996,958.815329443,0.348520107,0.168613053,0.558411669
393,80,-11.3996,97.258646933,0.26824795,0.037454982,0.537506413
394,88,-11.3996,98.885716726,0.26907135,0.038828608,0.537687881
395,96,-11.3996,689.297411272,0.337360204,0.141408641,0.565970362
396,104,-11.3996,1512.75178145,0.536252807,0.470641173,0.612799715
397,112,-11.3996,1934.80612576,0.589176686,0.559623609,0.623655275
398,120,-11.3996,2144.68113455,0.623887594,0.603525891,0.647642913
399,128,-11.3996,1883.58300182,0.59347109,0.574930438,0.61510185
400,136,-11.3996,1381.93605347,0.535773511,0.533184706,0.538793783
401,144,-11.3996,2719.673152,0.636895136,0.638972894,0.634471084
402,152,-11.3996,2549.98252691,0.592142779,0.509300264,0.68879238
403,160,-11.3996,2415.995614,0.490355843,0.373065113,0.627195027
404,168,-11.3996,1614.75142101,0.463051631,0.305438462,0.646933663
405,176,-11.3996,1025.6756865,0.387035007,0.202243454,0.602625153
406,-176,-19.73712,1591.851528,0.395960715,0.226412176,0.593767344
407,-168,-19.73712,802.067405737,0.345107938,0.136065717,0.588990528
408,-160,-19.73712,857.909530965,0.313291396,0.099220134,0.563041202
409,-152,-19.73712,968.749023196,0.333458723,0.11710211,0.585874772
410,-144,-19.73712,958.11402353,0.326588512,0.120611045,0.566895558
411,-136,-19.73712,665.3130049,0.282666915,0.065664512,0.535836386
412,-128,-19.73712,301.879745938,0.274049913,0.024703166,0.564954451
413,-120,-19.73712,100.269357721,0.249860388,0.010120212,0.52955726
414,-112,-19.73712,92.66666667,0.249092788,0.008163265,0.53017723
415,-104,-19.73712,88.6623595732,0.235779661,0.008163265,0.501332123
416,-96,-19.73712,89.0439268768,0.246066679,0.008163265,0.523620662
417,-88,-19.73712,95.4635982684,0.265706247,0.008163265,0.56617306
418,-80,-19.73712,123,0.344282,0.055141287,0.681612832
419,-72,-19.73712,396.533023103,0.297803754,0.088005898,0.542567921
423,-40,-19.73712,757,0.378443163,0.198241884,0.588677989
424,-32,-19.73712,261.2260276,0.315884541,0.098854317,0.569086469
425,-24,-19.73712,94.6031180288,0.263420179,0.037695078,0.526766129
426,-16,-19.73712,98,0.273661934,0.041776711,0.544194694
427,-8,-19.73712,211.5534947,0.286743211,0.049220694,0.563852814
428,0,-19.73712,93.1249068393,0.255228111,0.016566627,0.53366651
429,8,-19.73712,328.08748913,0.366441905,0.114514479,0.660357235
430,16,-19.73712,338.965152616,0.327277465,0.111872564,0.578583182
433,40,-19.73712,1445.0190476,0.492373773,0.370892429,0.634102009
434,48,-19.73712,1692.69874997,0.465963047,0.33864789,0.614497396
