LATITUDE,LONGITUDE,PLASTIC,BIODIVERSITY
27.12,-157.08,0.0,0.301794413
29.65,-156.08,406.65,0.301794413
29.65,-156.08,14456.08,0.301794413
33.9,-155.08,316.72,0.31240795600000004
33.9,-155.08,457.91,0.31240795600000004
35.45,-154.52,12743.88,0.27767429
37.73,-150.95,202.53,0.27767429
41.43,-145.03,290.29,0.267364709
41.98,-143.22,0.0,0.267364709
26.38,-156.93,1907.73,0.301794413
27.88,-155.52,2079.92,0.31240795600000004
29.55,-153.57,9758.53,0.31240795600000004
31.12,-151.33,672.45,0.31240795600000004
32.7,-149.73,141.44,0.31240795600000004
36.25,-146.93,0.0,0.267364709
37.63,-146.02,34.92,0.267364709
37.87,-143.33,627.97,0.267364709
38.08,-141.02,143.67,0.267364709
38.17,-137.68,717.39,0.27906098100000004
38.32,-134.77,0.0,0.27906098100000004
38.15,-132.2,42.95,0.27906098100000004
23.25,-156.88,0.0,0.396051413
24.53,-155.18,0.0,0.372287706
26.12,-153.32,1521.46,0.31240795600000004
27.83,-151.33,9781.71,0.31240795600000004
29.97,-149.95,11102.41,0.31240795600000004
32.27,-148.85,0.0,0.31240795600000004
34.72,-147.73,1490.86,0.288488363
36.4,-146.37,3012.77,0.267364709
36.72,-143.92,2853.59,0.267364709
36.75,-141.3,0.0,0.267364709
36.9,-138.77,0.0,0.27906098100000004
37.32,-135.83,0.0,0.27906098100000004
36.55,-148.98,32969.78,0.27767429
36.63,-146.62,11054.42,0.267364709
24.53,-157.97,0.0,0.396051413
28.72,-156.68,663.75,0.301794413
31.57,-153.58,6725.89,0.31240795600000004
34.58,-151.52,30559.18,0.31240795600000004
37.25,-148.88,0.0,0.27767429
39.33,-147.32,0.0,0.267364709
39.22,-142.85,0.0,0.267364709
38.8,-138.69,2112.68,0.27906098100000004
38.85,-134.1,0.0,0.27906098100000004
38.58,-130.13,0.0,0.369912739
39.1,-125.32,4263.41,0.369912739
28.27,-157.42,905.11,0.301794413
33.98,-156.04,12979.45,0.301794413
36.5,-155.27,120047.68,0.27767429
37.48,-156.68,19596.52,0.269339965
37.54,-152.48,18625.32,0.27767429
37.53,-152.23,1585.1,0.27767429
37.27,-145.27,3160.07,0.267364709
31.13,-159.52,290.91,0.301794413
34.18,-159.17,6524.58,0.301794413
36.18,-158.22,1947.45,0.269339965
29.82,-156.97,1708.99,0.301794413
30.93,-156.57,635.08,0.301794413
32.9,-155.67,962.99,0.31240795600000004
32.38,-154.65,6515.52,0.31240795600000004
33.98,-151.33,16280.18,0.31240795600000004
35.98,-148.82,7834.67,0.27767429
37.38,-146.03,12667.55,0.267364709
37.1,-142.03,58.65,0.267364709
26.09,-157.34,2217.1,0.301794413
36.31,-150.93,0.0,0.27767429
35.78,-149.31,34583.88,0.27767429
32.95,-159.55,6786.41,0.301794413
38.97,-161.78,740.47,0.269339965
40.12,-162.95,16140.45,0.269339965
43.07,-160.27,70.14,0.269339965
46.65,-151.72,0.0,0.19594674
38.08,-152.35,360.59,0.27767429
35.77,-153.64,5003.65,0.27767429
37.89,-149.57,21821.29,0.27767429
38.0,-141.99,0.0,0.267364709
38.19,-138.8,190.41,0.27906098100000004
36.64,-128.15,0.0,0.369912739
35.77,-124.5,0.0,0.369912739
24.37,-156.17,0.0,0.396051413
27.48,-154.3,0.0,0.31240795600000004
32.4,-150.97,46647.82,0.31240795600000004
36.55,-146.5,911.94,0.267364709
36.1,-142.9,41348.58,0.267364709
35.7,-139.95,758.91,0.27906098100000004
36.0,-136.1,4899.22,0.27906098100000004
22.13,-158.08,0.0,0.396051413
22.83,-158.67,0.0,0.396051413
24.25,-156.78,1240.33,0.396051413
25.53,-155.5,0.0,0.372287706
26.63,-154.17,0.0,0.31240795600000004
30.5,-150.47,422.21,0.31240795600000004
31.4,-148.12,0.0,0.31240795600000004
35.18,-147.7,693.55,0.267364709
33.42,-144.77,0.0,0.288488363
33.72,-139.45,22786.14,0.288517194
33.17,-136.43,0.0,0.288517194
31.57,-132.3,0.0,0.288517194
31.52,-127.87,0.0,0.35537263700000005
34.17,-119.8,0.0,0.417153829
31.26,-158.12,3503.51,0.301794413
31.63,-156.07,13586.79,0.301794413
33.06,-153.9,30962.47,0.31240795600000004
32.98,-154.15,72310.85,0.31240795600000004
29.07,-155.06,564.44,0.31240795600000004
30.03,-155.03,50.39,0.31240795600000004
30.99,-154.77,17649.01,0.31240795600000004
30.99,-154.24,5736.7,0.31240795600000004
30.78,-152.9,3800.82,0.31240795600000004
30.67,-152.48,7506.86,0.31240795600000004
30.67,-150.89,76836.1,0.31240795600000004
