LATITUDE,LONGITUDE,TOTAL__G_KM_
34.45,-34.49,436.15
33.79,-35.14,2486.49
33.42,-35.09,162.62
32.63,-36.41,576.8
31.81,-36.88,122.58
30.93,-37.06,142.43
30.07,-37.1,161.2
29.14,-37.23,64.63
28.31,-37.4,169.0
27.41,-37.4,2336.62
26.51,-37.36,94.24000000000001
25.58,-37.25,53.85
26.33,-37.72,150.93
27.2,-38.13,1205.34
28.16,-38.52,289.46000000000004
28.96,-38.84,154.82
29.8,-39.31,10508.6
30.61,-39.65,189.55
31.39,-40.08,186.70999999999998
32.19,-40.65,141.35
33.0,-41.29,424.80999999999995
32.2,-41.61,768.47
31.38,-41.76,295.83000000000004
30.52,-42.09,4262.96
29.7,-42.48,50.3
28.85,-42.59,55.97
28.02,-42.83,150.56
27.12,-42.96,212.57
26.26,-43.14,154.12
26.85,-43.77,115.49
27.58,-44.34,6565.57
28.33,-44.98,5659.960000000001
29.04,-45.48,281.65
29.73,-46.04,169.67000000000002
30.55,-46.66,230.28999999999996
31.27,-47.18,825.8599999999999
32.06,-47.69,351.47
33.16,-48.27,0.0
-39.31,163.59,0.0
-39.32,163.57,0.0
-39.32,163.56,0.0
-39.96,160.42,0.0
-40.05,160.1,0.0
-40.06,160.1,0.0
-40.64,155.88,0.0
-40.64,155.87,0.0
-40.62,155.92,0.0
-41.14,152.28,0.0
-41.14,152.26,0.0
-41.14,152.25,0.0
-43.58,145.8,0.0
-43.57,145.79,0.0
-43.56,145.78,0.0
-41.92,144.54,0.0
-41.92,144.54,0.0
-41.92,144.54,0.0
-39.04,142.41,0.0
-39.04,142.4,0.0
-39.03,142.39,0.0
-37.89,139.82,0.0
-37.88,139.82,0.0
-37.87,139.81,0.0
-36.05,135.69,0.0
-36.05,135.69,0.0
-36.04,135.68,0.0
-35.48,132.18,0.0
-35.48,132.16,0.0
-35.48,132.15,0.0
-35.07,127.26,0.0
-35.07,127.24,0.0
-35.07,127.23,0.0
-34.6,121.82,0.0
-34.61,121.81,0.0
-34.61,121.8,0.0
-35.32,118.62,0.0
-35.32,118.61,0.0
-35.32,118.61,0.0
-33.12,114.48,0.0
-33.12,114.46,0.0
-33.12,114.44,0.0
-41.9,148.46,0.0
-41.88,148.49,0.0
-41.87,148.51,0.0
-39.65,148.88,0.0
-39.65,148.87,0.0
-39.63,148.86,0.0
-37.64,150.4,0.0
-37.62,150.4,0.0
-37.61,150.4,0.0
-35.4,150.84,0.0
-35.39,150.85,0.0
-35.38,150.85,0.0
-33.88,152.01,0.0
-33.87,152.01,0.0
-33.87,152.02,0.0
-33.17,152.7,0.0
-33.16,152.7,0.0
-33.16,152.71,0.0
-31.03,153.37,0.0
-31.04,153.36,0.0
-31.04,153.36,0.0
-28.34,153.92,0.0
-28.34,153.92,0.0
-28.34,153.92,0.0
-26.73,153.38,0.0
-26.72,153.38,0.0
-26.7,153.38,0.0
-24.91,155.21,0.0
-24.92,155.2,0.0
-24.94,155.18,0.0
-23.87,162.35,0.0
-23.87,162.37,0.0
-23.86,162.38,0.0
-23.21,166.63,0.0
-23.21,166.64,0.0
-23.21,166.66,0.0
-21.77,170.63,0.0
-21.76,170.64,0.0
-21.75,170.66,0.0
-18.57,176.5,0.0
-18.58,176.49,0.0
-18.59,176.48,0.0
-19.98,174.99,0.0
-19.99,174.98,0.0
-20.0,174.97,0.0
-21.28,173.58,0.0
-21.29,173.56,0.0
-21.3,173.56,0.0
-22.6,172.1,0.0
-22.6,172.09,0.0
-22.61,172.08,0.0
-23.75,170.53,0.0
-23.76,170.52,0.0
-23.77,170.51,0.0
-25.08,168.71,0.0
-25.08,168.69,0.0
-25.09,168.68,0.0
-26.29,167.01,0.0
-26.3,167.0,0.0
-26.3,166.98,0.0
-27.53,165.19,0.0
-27.54,165.18,0.0
-27.56,165.18,0.0
-35.65,155.07,0.0
-35.66,155.06,0.0
-35.67,155.05,0.0
-37.38,153.54,0.0
-37.39,153.53,0.0
-37.41,153.51,0.0
-42.29,148.97,0.0
-42.3,148.96,0.0
-42.31,148.95,0.0
-42.83,148.45,0.0
-42.84,148.43,0.0
-42.84,148.42,0.0
-16.57,145.75,0.0
-16.55,145.76,0.0
-16.53,145.74,0.0
-15.02,145.39,0.0
-15.0,145.38,0.0
-14.98,145.38,0.0
-13.65,144.08,0.0
-13.63,144.07,0.0
-13.62,144.06,0.0
-12.02,143.27,0.0
-12.0,143.28,0.0
-11.99,143.29,0.0
-10.75,142.33,0.0
-10.77,142.3,0.0
-10.78,142.28,0.0
-12.27,141.63,0.0
-12.29,141.62,0.0
-12.3,141.62,0.0
-15.49,141.04,0.0
-15.51,141.04,0.0
-15.52,141.04,0.0
-17.05,140.78,0.0
-17.07,140.77,0.0
-17.08,140.77,0.0
-18.65,119.49,0.0
-18.66,119.48,0.0
-18.66,119.46,0.0
-18.86,118.67,0.0
-18.87,118.65,0.0
-18.87,118.63,0.0
-18.99,118.2,0.0
-18.99,118.18,0.0
-19.0,118.17,0.0
-19.11,117.72,0.0
-19.11,117.7,0.0
-19.12,117.68,0.0
-19.43,115.93,0.0
-19.43,115.94,0.0
-19.43,115.96,0.0
-20.06,116.38,0.0
-20.07,116.35,0.0
-20.07,116.34,0.0
-20.32,115.66,0.0
-20.32,115.64,0.0
-20.33,115.63,0.0
-19.79,115.98,0.0
-19.8,115.97,0.0
-19.81,115.95,0.0
-20.38,115.13,0.0
-20.4,115.12,0.0
-20.4,115.1,0.0
-21.84,113.92,0.0
-21.83,113.93,0.0
-21.82,113.95,0.0
-21.2,115.47,0.0
-21.2,115.49,0.0
-21.19,115.51,0.0
-19.97,117.09,0.0
-19.95,117.1,0.0
-19.94,117.11,0.0
-18.73,118.74,0.0
-18.72,118.75,0.0
-18.71,118.76,0.0
-17.66,120.13,0.0
-17.65,120.14,0.0
-17.65,120.16,0.0
-15.21,123.32,0.0
-15.2,123.33,0.0
-15.19,123.34,0.0
-14.29,124.78,0.0
-14.28,124.79,0.0
